id;name;used
27030;Bus 58: Hauptbahnhof => Ragnitz;
27422;Bus 34E: Jakominiplatz => Theyergasse;
27440;Bus 30: Citypark => Geidorf;
27451;Bus 31: Uni/ReSoWi => Webling;
27592;Bus 32: Unterpremstätten/Steg => Garage Kärntner Straße;
27594;Bus 33: Jakominiplatz => Peter-Rosegger-Straße;
27813;Bus 39: Urnenfriedhof => Wirtschaftskammer;
27940;Bus 40: Jakominiplatz => Gösting;
27990;Bus 41: Dürrgabenweg => St. Leonhard/Klinikum Mitte;
28935;Bus 63: Hauptbahnhof => Schulzentrum Sankt Peter;
32260;Bus 38: Rudolfstraße => Jäger im Tal;
32271;Bus 33: Riesenhof => Pleschinger See;
34760;Bus 67E: Jakominiplatz => Zanklstraße;
49726;Bus 715: Ottnang - Atzbach - Schwanenstadt;
50332;Bus 35A: Spittelau => Salmannsdorf;
60917;Bus 31A: Kagraner Platz => Großjedlersdorf, Jochbergengasse;
61308;Bus 41A: Pötzleinsdorf => Neustifter Friedhof 3.Tor;
61525;Bus 40A: Schottentor => Döblinger Friedhof/Felix-Dahn-Straße;
61645;Bus 105: Südpark Linz => Siriusweg;
65881;Bus 39A: Bahnhof Heiligenstadt => Neustift, Agnesgasse;
66054;Bus 11A: Bahnhof Heiligenstadt => Stadion;
67535;Nachtbus N41: Schottentor => Pötzleinsdorf;
67643;Nachtbus N43: Schottentor => Neuwaldegg;
67697;Bus 42A: Hernals => Schafberghöhe;
68786;Bus 5A: Griegstraße => Nestroyplatz;
69587;Bus 12: Karlhof => Auwiesen;
69591;Bus 25: Karlhof => Oed;
70224;Bus 77: Hauptbahnhof => Universität;
70282;Bus 42: Andritz => Ziegelstraße;
70283;Bus 43: Andritz => Saumgasse;
70284;Bus 45: Andritz => Rannach/Abzw. Alpengarten;
70290;"Bus 48: Gösting => Thal/Kötschberg (nicht via Thaler See;Samstagmorgen in Schulzeit)";
70449;Bus 81: Mariagrün => Volksschule Mariagrün;
70450;Bus 83: Mariagrün => Volksschule Mariagrün;
70460;Bus 53: Hauptbahnhof => Stattegg/Fuß der Leber;
70465;Bus 61: Krenngasse => Berliner Ring;
70551;Bus 69: St. Peter => Petri Au;
70562;Bus 68: Schulzentrum St. Peter => Lustbühel;
