id;name;used
23294;Tram 1: Eggenberg/UKH => Mariatrost;
27010;Tram 7: Wetzelsdorf Burgenlandstraße => LKH Med Uni/Klinikum Nord;
27176;Tram 5: Andritz => Puntigam;
27194;Tram 4: Reininghaus => Liebenau;
27222;Tram 3: Andritz => Krenngasse;
27223;Tram 6: Smart City/Peter-Tunner-Gasse/tim => Sankt Peter;
32251;3: Landgutstraße – Trauner Kreuzung;
32252;1: Universität – Auwiesen;
32253;2: Universität – solarCity;
150353;50: Pöstlingberg – Hauptplatz;
367053;Straßenbahn Gmunden 161: Engelhof => Hauptbahnhof;
910885;Tram 49: Ring, Volkstheater => Hütteldorf;
910886;Tram 49: Hütteldorf => Ring, Volkstheater;
962028;Tram 6: Sankt Peter => Smart City/Peter-Tunner-Gasse/tim;
962057;Tram 3: Krenngasse => Andritz;
962919;Tram 1: Mariatrost => Eggenberg/UKH;
962994;Tram 4: Liebenau => Reininghaus;
963683;Tram 5: Puntigam => Andritz;
1149418;2: solarCity - Universität;
1149419;1: Auwiesen - Universität;
1149420;50: Hauptplatz - Pöstlingberg;
1149421;3: Trauner Kreuzung - Landgutstraße;
1172465;N82: Universität – solarCity;
1172466;N82: solarCity - Universität;
1306559;Tram 10: Dornbach => Unter St. Veit;
1306560;Tram 10: Unter St. Veit => Dornbach;
1306732;Tram 9: Gersthof => Westbahnhof;
1306733;Tram 9: Westbahnhof => Gersthof;
1729994;Tram 2: Friedrich-Engels-Platz => Dornbach;
1729995;Tram 2: Dornbach => Friedrich-Engels-Platz;
1780743;Tram 60: Rodaun => Westbahnhof;
1780808;Tram 60: Westbahnhof => Rodaun;
1780893;Tram 62: Lainz, Wolkersbergenstr. => Oper, Karlsplatz;
1780894;Tram 62: Oper, Karlsplatz => Lainz, Wolkersbergenstraße;
1799481;Tram 44: Maroltingergasse => Schottentor;
1799482;Tram 44: Schottentor => Maroltingergasse;
1800603;Tram 52: Baumgarten => Westbahnhof;
1800604;Tram 52: Westbahnhof => Baumgarten;
1808842;Tram 46: Ring, Volkstheater => Joachimsthalerplatz;
1808843;Tram 46: Joachimsthalerplatz => Ring, Volkstheater;
1809912;Tram 18: Burggasse-Stadthalle => Schlachthausgasse;
